,product_decription,product_to_sell
0,Sports Marketing and Fan Engagement,Personalised sports merchandise
1,Technological Advancements in Sports,Wearable tech and smart equipment
2,Diversity and Inclusion in Sports,Inclusive sports gear
3,Impact of COVID-19 on Sports Industry,Home workout equipment
4,Growth of eSports,eSports equipment and merchandise
5,Role of AI and Data in Sports,AI-powered training tools
6,Sports Betting and Gambling,Sports betting apps and platforms
7,Sustainability in Sports,Eco-friendly sports gear
8,Women's Sports,Women-specific sports gear
9,Sports Market Analysis and Forecast,Market research reports
